,hidden_layers,run,training_loss,training_time,test_loss,test_accuracy,test_time
0,18,0,0.4805062711238861,575.598872423172,0.57923388671875,82.07,58.09061861038208
1,18,1,0.4654189646244049,594.243992805481,0.35396962890625,88.86,58.156681537628174
2,18,2,0.380266010761261,596.6044323444366,0.3397485107421875,91.78,58.25969481468201
3,16,0,0.1224694699048996,138.97871088981628,0.19947874755859374,94.99,25.88666343688965
4,16,1,0.39813780784606934,140.76923036575317,0.455767578125,92.2,31.65493154525757
5,16,2,0.1568773239850998,139.09558010101318,0.216732763671875,94.8,24.403190851211548
6,14,0,0.14421597123146057,60.61582088470459,0.2034872314453125,95.32,24.229393243789673
7,14,1,0.13790090382099152,61.213141202926636,0.18598046875,95.62,24.17739224433899
8,14,2,0.11097048968076706,61.88248252868652,0.181171044921875,95.32,24.072936058044434
9,12,0,0.16764605045318604,59.85910224914551,0.1961379638671875,95.12,23.68826937675476
10,12,1,0.14587679505348206,60.17162799835205,0.1807728759765625,95.47,23.972556829452515
11,12,2,0.14362062513828278,65.08284139633179,0.17760543212890625,95.53,24.498851537704468
12,9,0,0.16458100080490112,61.699538707733154,0.16960218505859376,95.61,23.160972356796265
13,9,1,0.13912801444530487,62.061177015304565,0.19679119873046874,95.07,23.457656383514404
14,9,2,0.11563374847173691,62.06546235084534,0.1896982666015625,95.42,23.610140323638916
15,7,0,0.10516997426748276,61.16009879112244,0.15904674072265626,95.45,22.428480863571167
16,7,1,0.08878665417432785,60.94954466819763,0.1540525634765625,95.76,22.76381826400757
17,7,2,0.12017250061035156,60.67475605010986,0.19184046630859375,94.71,22.389655113220215
