hidden_layers,run,training_loss,training_time,test_loss,test_accuracy,test_time
1,0,0.11172304302453995,7.588108027,0.14018207124416932,95.93,0.452692592
1,1,0.08695409446954727,7.325871558,0.1332956696966381,96.22,0.453348733
1,2,0.08081252872943878,15.338950051,0.13089061335525445,95.93,0.449067472
3,0,0.017392298206686974,13.531527554,0.11205023913406774,96.9,0.672250613
3,1,0.03847106918692589,12.653588345,0.12134512582752345,96.44,0.670902027
3,2,0.016837988048791885,13.0744725,0.11725889222079233,96.51,0.669076182
5,0,0.024041980504989624,22.437554253,0.12932908782548108,96.44,0.84866439
5,1,0.03379790484905243,20.231738283,0.13431427560352796,96.61,0.841300818
5,2,0.028562946245074272,20.645320344,0.12134892636731338,97,0.835263428
7,0,0.019746240228414536,62.435106387,0.12296493661543573,96.84,1.190715174
7,1,0.009410969913005829,43.985512044000004,0.1531453265298561,96.28,1.198610048
7,2,0.04126422107219696,41.613754094,0.1422032023623101,96.38,1.18947374
9,0,0.02438214421272278,82.082292575,0.1559322842226966,96.31,3.914888957
9,1,0.012932918034493923,75.582689402,0.1326161487261417,96.9,4.25096546
9,2,0.036486491560935974,65.137548724,0.14324361132754,96.57,4.519580466
