hidden_layers,run,training_loss,training_time,test_loss,test_accuracy,test_time
18,0,0.6387679576873779,585.197695505,0.5754442611226498,84.58,57.864849861
18,1,0.24425506591796875,587.463232157,0.26085390814332177,93.31,57.412630002
18,2,0.17049957811832428,588.694985263,0.2164331661833041,94.66,57.391147285
16,0,0.1647173911333084,140.378161571,0.21096684092201282,94.94,17.241103029
16,1,0.20815451443195343,140.485755203,0.21111356806381212,95.63,17.221350866
16,2,0.1296515166759491,139.96764529,0.24008895327417704,94.72,17.21248723
14,0,0.11170392483472824,37.417859331,0.23383122410629797,95.23,6.976167849
14,1,0.11194977164268494,37.288954253,0.19083966491194532,95.69,6.916008609
14,2,0.04651084169745445,37.282799726,0.18113784979156475,95.94,7.022985524
12,0,0.05504755303263664,10.930207786,0.18350855863228765,95.75,5.416467991
12,1,0.09369593858718872,10.877751581,0.16636691214246901,96.11,5.308585445
12,2,0.09916574507951736,10.904695319,0.16789534317190355,96.02,5.32932817
9,0,0.04321251064538956,6.817900887,0.1412254679518629,96.39,4.551751617
9,1,0.015204381197690964,6.85541372,0.13634479800652208,96.63,4.649471738
9,2,0.1147240474820137,7.105320349,0.14145203149529287,96.51,4.576958458
7,0,0.022983603179454803,5.656452075,0.1450992285261174,96.47,3.893696325
7,1,0.03210809826850891,5.701792675,0.11934184969169953,96.6,4.002321064
7,2,0.04695766791701317,5.592662807,0.13250922900972759,96.43,3.816161048
